fuel_name,fuel_type,company,DCN
Synthetic Paraffinic Kerosene (SPK) (Sasol IPK),Synthetic Paraffinic Kerosene (SPK),Sasol IPK,31.5
Synthetic Paraffinic Kerosene (SPK) (Shell SPK),Synthetic Paraffinic Kerosene (SPK),Shell SPK,59.6
Synthetic Paraffinic Kerosene (SPK) (Syntroleum S-8),Synthetic Paraffinic Kerosene (SPK),Syntroleum S-8,60.0
"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ) (HRJ-8 camelina)","Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ)",HRJ-8 camelina,53.9
"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ) (Dynamic Fuels (mixed fats))","Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ)",Dynamic Fuels (mixed fats),59.0
SIP (Amyris/Total),SIP,Amyris/Total,58.2
ATJ SPK (Gevo (isobutanol)),ATJ SPK,Gevo (isobutanol),16.0
ATJ SPK (LanzaTech (ethanol)),ATJ SPK,LanzaTech (ethanol),47.9
CHJ (ARA),CHJ,ARA,49.9
ATJ SKA (Swedish Biofuels),ATJ SKA,Swedish Biofuels,44.0
Hydroprocessed Depolymerized Cellulosic Jet (HDCJ) (KiOR),Hydroprocessed Depolymerized Cellulosic Jet (HDCJ),KiOR,24.0
Hydro-deoxygenated Synthetic Kerosene (HDO SK) (Virent/Shell),Hydro-deoxygenated Synthetic Kerosene (HDO SK),Virent/Shell,43.1
HDO SAK (Virent/Shell),HDO SAK,Virent/Shell,8.5
