fuel_name,POSF_number,carbon_number,isoparaffin_mass_pct,source
Shell SPK,5172,C07 & lower,0.04,"Table 13, p55"
Syntroleum S-8 SPK,5018,C07 & lower,0.01,"Table 13, p55"
Sasol IPK,7629,C07 & lower,0.04,"Table 13, p55"
UOP camelina HEFA,10301,C07 & lower,0.02,"Table 13, p55"
Dynamic Fuels HEFA,7635,C07 & lower,0.01,"Table 13, p55"
Gevo ATJ,8092,C07 & lower,0.09,"Table 13, p55"
Shell SPK,5172,C08,0.21,"Table 13, p55"
Syntroleum S-8 SPK,5018,C08,1.48,"Table 13, p55"
Sasol IPK,7629,C08,0.49,"Table 13, p55"
UOP camelina HEFA,10301,C08,1.39,"Table 13, p55"
Dynamic Fuels HEFA,7635,C08,1.77,"Table 13, p55"
UOP tallow HEFA,6308,C08,2.1,"Table 13, p55"
Gevo ATJ,8092,C08,0.36,"Table 13, p55"
Shell SPK,5172,C09,5.71,"Table 13, p55"
Syntroleum S-8 SPK,5018,C09,6.28,"Table 13, p55"
Sasol IPK,7629,C09,10.69,"Table 13, p55"
UOP camelina HEFA,10301,C09,10.87,"Table 13, p55"
Dynamic Fuels HEFA,7635,C09,3.65,"Table 13, p55"
UOP tallow HEFA,6308,C09,9.4,"Table 13, p55"
Gevo ATJ,8092,C09,0.08,"Table 13, p55"
Shell SPK,5172,C10,20.9,"Table 13, p55"
Syntroleum S-8 SPK,5018,C10,8.29,"Table 13, p55"
Sasol IPK,7629,C10,22.07,"Table 13, p55"
UOP camelina HEFA,10301,C10,11.67,"Table 13, p55"
Dynamic Fuels HEFA,7635,C10,6.69,"Table 13, p55"
UOP tallow HEFA,6308,C10,9.69,"Table 13, p55"
Gevo ATJ,8092,C10,0.18,"Table 13, p55"
Shell SPK,5172,C11,18.5,"Table 13, p55"
Syntroleum S-8 SPK,5018,C11,9.89,"Table 13, p55"
Sasol IPK,7629,C11,34.28,"Table 13, p55"
UOP camelina HEFA,10301,C11,10.24,"Table 13, p55"
Dynamic Fuels HEFA,7635,C11,10.33,"Table 13, p55"
UOP tallow HEFA,6308,C11,9.69,"Table 13, p55"
Gevo ATJ,8092,C11,0.32,"Table 13, p55"
Shell SPK,5172,C12,9.24,"Table 13, p55"
Syntroleum S-8 SPK,5018,C12,10.93,"Table 13, p55"
Sasol IPK,7629,C12,21.56,"Table 13, p55"
UOP camelina HEFA,10301,C12,8.54,"Table 13, p55"
Dynamic Fuels HEFA,7635,C12,12.37,"Table 13, p55"
UOP tallow HEFA,6308,C12,9.25,"Table 13, p55"
Gevo ATJ,8092,C12,79.74,"Table 13, p55"
Shell SPK,5172,C13,0.3,"Table 13, p55"
Syntroleum S-8 SPK,5018,C13,11.5,"Table 13, p55"
Sasol IPK,7629,C13,7.16,"Table 13, p55"
UOP camelina HEFA,10301,C13,8.48,"Table 13, p55"
Dynamic Fuels HEFA,7635,C13,11.54,"Table 13, p55"
UOP tallow HEFA,6308,C13,9.53,"Table 13, p55"
Gevo ATJ,8092,C13,1.2,"Table 13, p55"
Shell SPK,5172,C14,0.05,"Table 13, p55"
Syntroleum S-8 SPK,5018,C14,11.16,"Table 13, p55"
Sasol IPK,7629,C14,1.72,"Table 13, p55"
UOP camelina HEFA,10301,C14,6.41,"Table 13, p55"
Dynamic Fuels HEFA,7635,C14,13.98,"Table 13, p55"
UOP tallow HEFA,6308,C14,7.84,"Table 13, p55"
Gevo ATJ,8092,C14,15.99,"Table 13, p55"
Shell SPK,5172,C15,0.04,"Table 13, p55"
Syntroleum S-8 SPK,5018,C15,9.92,"Table 13, p55"
Sasol IPK,7629,C15,0.29,"Table 13, p55"
UOP camelina HEFA,10301,C15,5.75,"Table 13, p55"
Dynamic Fuels HEFA,7635,C15,4.29,"Table 13, p55"
UOP tallow HEFA,6308,C15,11.75,"Table 13, p55"
Gevo ATJ,8092,C15,1.2,"Table 13, p55"
Shell SPK,5172,C16,0.01,"Table 13, p55"
Syntroleum S-8 SPK,5018,C16,5.84,"Table 13, p55"
Sasol IPK,7629,C16,0.07,"Table 13, p55"
UOP camelina HEFA,10301,C16,10.95,"Table 13, p55"
Dynamic Fuels HEFA,7635,C16,20.73,"Table 13, p55"
UOP tallow HEFA,6308,C16,12.83,"Table 13, p55"
Syntroleum S-8 SPK,5018,C17,0.56,"Table 13, p55"
Sasol IPK,7629,C17,0.02,"Table 13, p55"
UOP camelina HEFA,10301,C17,11.56,"Table 13, p55"
Dynamic Fuels HEFA,7635,C17,0.29,"Table 13, p55"
UOP tallow HEFA,6308,C17,5.92,"Table 13, p55"
Syntroleum S-8 SPK,5018,C18,0.02,"Table 13, p55"
Sasol IPK,7629,C18,0.01,"Table 13, p55"
UOP camelina HEFA,10301,C18,0.81,"Table 13, p55"
Dynamic Fuels HEFA,7635,C18,3.44,"Table 13, p55"
UOP tallow HEFA,6308,C18,0.34,"Table 13, p55"
