fuel_name,POSF_number,MW_gmol
Jet A POSF 4658,4658,163
JP-8 POSF 6169,6169,159
JP-8 POSF 5699,5699,157
"S-8 FT SPK, POSF 4734",4734,166
"Sasol IPK, POSF 7629",7629,153
"Shell SPK, POSF 5729",5729,144
"Tallow HEFA, POSF 6308",6308,171
"Camelina HEFA, POSF 7720",7720,177
"JP-8/SPK blend, POSF 7717",7717,152
"JP-8/IPK Blend, POSF 7718",7718,156
"JP-8/tallow HEFA blend, POSF 7719",7719,165
"JP-8/camelina HEFA blend, POSF 7721",7721,167
"Gevo ATJ, POSF 10151",10151,177
"JP-8/Gevo ATJ blend, POSF 10153",10153,168
"Jet A, POSF 10325 “A-2”",10325,159
"JP-8, POSF 10264 “A-1”",10264,152
"JP-5, POSF 10289 “A-3”",10289,166
"NJFCP C10 blend component, POSF 8296",8296,142
"NJFCP C14 blend component, POSF 9405",9405,191
Norpar 12,n/a,162
Aromatic 100,n/a,122
Aromatic 150,n/a,136
