fuel_type,T_C,T_K,speed_of_sound_ms,source,equation,R2
Jet A,-40.0,233.14999999999998,1569.1,"Table 19, p88",Vos = -3.885*T + 1413.7,0.986
Jet A,-20.0,253.14999999999998,1491.4,"Table 19, p88",Vos = -3.885*T + 1413.7,0.986
Jet A,0.0,273.15,1413.7,"Table 19, p88",Vos = -3.885*T + 1413.7,0.986
Jet A,20.0,293.15,1336.0,"Table 19, p88",Vos = -3.885*T + 1413.7,0.986
Jet A,40.0,313.15,1258.3,"Table 19, p88",Vos = -3.885*T + 1413.7,0.986
Jet A,60.0,333.15,1180.6,"Table 19, p88",Vos = -3.885*T + 1413.7,0.986
Jet A,80.0,353.15,1102.9,"Table 19, p88",Vos = -3.885*T + 1413.7,0.986
Jet A,100.0,373.15,1025.2,"Table 19, p88",Vos = -3.885*T + 1413.7,0.986
Jet A-1,-40.0,233.14999999999998,1558.7,"Table 19, p88",Vos = -3.9106*T + 1402.3,0.9779
Jet A-1,-20.0,253.14999999999998,1480.5,"Table 19, p88",Vos = -3.9106*T + 1402.3,0.9779
Jet A-1,0.0,273.15,1402.3,"Table 19, p88",Vos = -3.9106*T + 1402.3,0.9779
Jet A-1,20.0,293.15,1324.1,"Table 19, p88",Vos = -3.9106*T + 1402.3,0.9779
Jet A-1,40.0,313.15,1245.9,"Table 19, p88",Vos = -3.9106*T + 1402.3,0.9779
Jet A-1,60.0,333.15,1167.7,"Table 19, p88",Vos = -3.9106*T + 1402.3,0.9779
Jet A-1,80.0,353.15,1089.5,"Table 19, p88",Vos = -3.9106*T + 1402.3,0.9779
Jet A-1,100.0,373.15,1011.2,"Table 19, p88",Vos = -3.9106*T + 1402.3,0.9779
JP-5,-40.0,233.14999999999998,1566.1,"Table 19, p88",Vos = -3.8276*T + 1413.0,0.9985
JP-5,-20.0,253.14999999999998,1489.6,"Table 19, p88",Vos = -3.8276*T + 1413.0,0.9985
JP-5,0.0,273.15,1413.0,"Table 19, p88",Vos = -3.8276*T + 1413.0,0.9985
JP-5,20.0,293.15,1336.4,"Table 19, p88",Vos = -3.8276*T + 1413.0,0.9985
JP-5,40.0,313.15,1259.9,"Table 19, p88",Vos = -3.8276*T + 1413.0,0.9985
JP-5,60.0,333.15,1183.3,"Table 19, p88",Vos = -3.8276*T + 1413.0,0.9985
JP-5,80.0,353.15,1106.8,"Table 19, p88",Vos = -3.8276*T + 1413.0,0.9985
JP-5,100.0,373.15,1030.2,"Table 19, p88",Vos = -3.8276*T + 1413.0,0.9985
JP-8,-40.0,233.14999999999998,1554.1,"Table 19, p88",Vos = -3.8678*T + 1399.4,0.9658
JP-8,-20.0,253.14999999999998,1476.8,"Table 19, p88",Vos = -3.8678*T + 1399.4,0.9658
JP-8,0.0,273.15,1399.4,"Table 19, p88",Vos = -3.8678*T + 1399.4,0.9658
JP-8,20.0,293.15,1322.0,"Table 19, p88",Vos = -3.8678*T + 1399.4,0.9658
JP-8,40.0,313.15,1244.7,"Table 19, p88",Vos = -3.8678*T + 1399.4,0.9658
JP-8,60.0,333.15,1167.3,"Table 19, p88",Vos = -3.8678*T + 1399.4,0.9658
JP-8,80.0,353.15,1090.0,"Table 19, p88",Vos = -3.8678*T + 1399.4,0.9658
JP-8,100.0,373.15,1012.6,"Table 19, p88",Vos = -3.8678*T + 1399.4,0.9658
HRJ8 (R-8 w/ JP-8 Additives),30.0,303.15,1247.0,"Table 24, p95",measured,
R-8/JP-8 50/50,30.0,303.15,1267.0,"Table 24, p95",measured,
Sasol IPK,30.0,303.15,1212.0,"Table 24, p95",measured,
Neste Oil NExBTL BioJet,30.0,303.15,1275.0,"Table 24, p95",measured,
Rentech FT SPK w/ JP-* Additives,30.0,303.15,1246.0,"Table 24, p95",measured,
HRJ (Tallow),30.0,303.15,1241.0,"Table 24, p95",measured,
3HRJ (Camelina),30.0,303.15,1220.0,"Table 24, p95",measured,
TS-1,30.0,303.15,1256.0,"Table 24, p95",measured,
HRJ (Tallow)/JP-8 50/50,30.0,303.15,1258.0,"Table 24, p95",measured,
HRJ (Camelina)/JP-8 50/50,30.0,303.15,1247.0,"Table 24, p95",measured,
Shell FT SPK,30.0,303.15,1205.0,"Table 24, p95",measured,
JP-8,30.0,303.15,1284.0,"Table 24, p95",measured,
Jet A,30.0,303.15,1262.0,"Table 24, p95",measured,
Premium Ultra-Low Sulfur Diesel,30.0,303.15,1329.0,"Table 24, p95",measured,
GEVO,30.0,303.15,1181.0,"Table 24, p95",measured,
GEVO/JP-8 50/50,30.0,303.15,1231.0,"Table 24, p95",measured,
