fuel_name,POSF_number,fuel_type,T_C,T_K,viscosity_cSt,source
Synthetic Paraffinic Kerosene (SPK) (Sasol IPK),7629,Synthetic Paraffinic Kerosene (SPK),-20.0,253.15,3.4,"Table 16, p73"
Synthetic Paraffinic Kerosene (SPK) (Sasol IPK),7629,Synthetic Paraffinic Kerosene (SPK),-40.0,233.15,6.4,"Table 16, p73"
Synthetic Paraffinic Kerosene (SPK) (Shell SPK),5729,Synthetic Paraffinic Kerosene (SPK),-20.0,253.15,2.6,"Table 16, p73"
Synthetic Paraffinic Kerosene (SPK) (Syntroleum S-8),5018,Synthetic Paraffinic Kerosene (SPK),-20.0,253.15,4.3,"Table 16, p73"
"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ) (UOP camelina)",10301,"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ)",-20.0,253.15,5.1,"Table 16, p73"
"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ) (UOP camelina)",10301,"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ)",-40.0,233.15,11.4,"Table 16, p73"
"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ) (UOP tallow)",10298,"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ)",-20.0,253.15,5.0,"Table 16, p73"
"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ) (UOP tallow)",10298,"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ)",-40.0,233.15,11.0,"Table 16, p73"
"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ) (Dynamic Fuels (mixed fats))",7635,"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ)",-20.0,253.15,5.8,"Table 16, p73"
"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ) (Dynamic Fuels (mixed fats))",7635,"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ)",-40.0,233.15,13.8,"Table 16, p73"
SIP (Amyris/Total),n/a,SIP,-20.0,253.15,13.85,"Table 16, p73"
IPKA (Sasol),n/a,IPKA,-20.0,253.15,3.8,"Table 16, p73"
ATJ SPK (Gevo (isobutanol)),11498,ATJ SPK,-20.0,253.15,5.4,"Table 16, p73"
ATJ SPK (Gevo (isobutanol)),11498,ATJ SPK,-40.0,233.15,10.5,"Table 16, p73"
ATJ SPK (LanzaTech (ethanol)),12756,ATJ SPK,-20.0,253.15,4.2,"Table 16, p73"
ATJ SPK (LanzaTech (ethanol)),12756,ATJ SPK,-40.0,233.15,8.7,"Table 16, p73"
CHJ (ARA),8455,CHJ,-20.0,253.15,4.1,"Table 16, p73"
CHJ (ARA),8455,CHJ,-40.0,233.15,7.9,"Table 16, p73"
ATJ SKA (Swedish Biofuels),12924,ATJ SKA,-20.0,253.15,3.4,"Table 16, p73"
ATJ SKA (Swedish Biofuels),12924,ATJ SKA,-40.0,233.15,7.3,"Table 16, p73"
ATJ SKA (Byogy),7614,ATJ SKA,-20.0,253.15,5.0,"Table 16, p73"
Hydro- deoxygenated Synthetic Kerosene (HDO SK) (Virent/Shell),8535,Hydro- deoxygenated Synthetic Kerosene (HDO SK),-20.0,253.15,6.1,"Table 16, p73"
SAK (Virent/Shell),n/a,SAK,-20.0,253.15,1.9,"Table 16, p73"
World Survey Average,n/a,Jet A/Jet A-1/JP-8,-20.0,253.15,4.3,"Table 3, p12"
