no,blend_name,face_gasoline,gasoline_vol_pct,ethanol_vol_pct,RON,MON
1,FACE A+0,FACE A,100,0,83.6,82.9
2,FACE A+10,FACE A,90,10,92,88
3,FACE A+25,FACE A,75,25,100.7,92.6
4,FACE A+40,FACE A,60,40,104.1,91.7
5,FACE A+60,FACE A,40,60,106,91.3
6,FACE C+0,FACE C,100,0,84.4,83
7,FACE C+10,FACE C,90,10,92.2,87.1
8,FACE C+25,FACE C,75,25,100.3,90.5
9,FACE C+40,FACE C,60,40,104.1,91
10,FACE C+60,FACE C,40,60,105.8,91.3
11,FACE F+0,FACE F,100,0,94.2,87.4
12,FACE F+10,FACE F,90,10,98.9,88.5
13,FACE F+25,FACE F,75,25,103.2,89.5
14,FACE F+40,FACE F,60,40,104.7,90.3
15,FACE F+60,FACE F,40,60,105.7,90.5
16,FACE G+0,FACE G,100,0,96.4,84.9
17,FACE G+10,FACE G,90,10,98.8,86.1
18,FACE G+25,FACE G,75,25,102.4,87.9
19,FACE G+40,FACE G,60,40,103,88.5
20,FACE G+60,FACE G,40,60,105,88.9
21,FACE I+0,FACE I,100,0,69.5,69
22,FACE I+10,FACE I,90,10,79.9,78
23,FACE I+25,FACE I,75,25,89.8,85.3
24,FACE I+40,FACE I,60,40,98,88.3
25,FACE I+60,FACE I,40,60,103.6,89.7
26,FACE J+0,FACE J,100,0,71.8,66.9
27,FACE J+10,FACE J,90,10,79,73.6
28,FACE J+25,FACE J,75,25,89.8,81.7
29,FACE J+40,FACE J,60,40,98,85.9
30,FACE J+60,FACE J,40,60,103.6,88.2
